match_id,radiant_win,r_pos1,r_pos2,r_pos3,r_pos4,r_pos5,d_pos1,d_pos2,d_pos3,d_pos4,d_pos5
8703508437,1,35,46,28,66,112,25,56,99,37,45
8703482693,0,76,72,33,37,19,73,15,137,3,100
8703411459,1,113,11,96,123,31,155,15,38,119,87
8703360229,0,11,107,105,29,100,74,56,38,128,75
8703354577,1,38,129,137,110,27,46,16,120,131,88
8703341571,0,126,92,128,15,136,11,85,38,19,51
8703333995,1,15,96,17,84,121,10,106,155,21,64
8703258676,1,57,56,15,58,19,106,77,16,21,68
8703250903,0,36,11,43,37,128,48,28,49,26,20
8703243107,0,49,44,110,19,64,70,129,16,37,131
8703199583,1,54,108,126,37,79,70,13,98,64,26
8703186387,0,53,97,52,40,90,11,84,106,27,68
8703176319,0,12,106,108,62,87,16,56,98,83,79
8703123639,0,95,74,23,51,84,25,129,114,128,66
8703101544,0,11,38,28,37,136,21,155,17,123,100
8703080360,1,46,98,15,100,79,12,97,128,129,37
8703023066,0,65,11,15,26,14,47,110,93,20,83
8703008401,1,75,97,28,128,51,21,108,137,45,100
8702997623,1,72,17,155,119,100,52,49,129,58,110
8702978826,0,23,101,155,138,20,10,29,80,22,84
8702942647,1,93,108,137,79,31,34,35,128,85,100
8702939563,0,137,46,34,105,87,48,76,2,131,84
8702898018,1,155,17,65,107,41,94,49,15,51,27
8702891175,0,56,39,129,75,87,46,42,74,86,131
8702884259,1,95,99,13,100,79,46,17,108,155,101
8702851643,1,11,137,84,74,79,39,10,99,119,87
8702838746,1,17,74,78,155,88,49,126,29,68,138
8702820714,0,54,47,96,37,112,34,72,129,64,75
8702808357,0,46,136,19,26,84,145,96,110,71,155
8702804801,0,43,72,11,27,84,73,70,25,128,20
8702789448,1,35,39,92,83,100,10,65,97,79,19
8702775756,1,39,47,129,68,100,102,106,15,71,87
8702771366,1,129,70,26,7,105,21,29,106,86,87
8702768552,1,35,2,11,27,20,28,1,14,26,31
8702746414,1,18,10,15,51,100,41,101,28,21,83
8702736270,0,48,108,23,87,84,145,11,155,66,131
8702733610,0,49,136,86,84,75,48,29,17,90,20
8702712980,1,47,102,129,79,68,39,106,96,119,83
8702708382,0,48,36,108,75,37,49,25,11,26,128
8702704915,1,145,129,86,131,14,46,138,65,20,119
8702682540,0,108,18,86,31,26,48,35,2,90,84
8702661742,1,145,33,106,79,64,93,17,2,123,68
8702618311,1,13,49,108,68,21,98,11,15,71,83
8702590723,0,46,2,54,101,87,20,145,19,5,97
8702564104,1,145,97,39,20,40,11,70,81,101,111
8702535685,1,63,88,107,14,87,102,54,17,86,5
8702524545,0,49,15,69,63,3,109,38,114,136,75
8702512244,1,35,135,70,51,5,114,38,56,86,26
8702504924,1,145,36,23,90,136,25,65,98,39,96
8702486501,0,59,104,44,101,84,48,7,137,86,87
8702484172,1,93,38,98,58,63,72,90,129,128,83
8702461768,0,46,52,98,37,100,145,17,129,64,93
8702454077,0,47,49,136,22,37,2,46,39,123,86
8702436562,1,72,39,155,19,119,54,65,29,68,100
8702422786,1,126,38,64,100,155,46,16,21,71,14
8702421357,0,18,106,47,79,88,81,145,21,64,100
8702418070,1,35,114,43,88,5,38,72,96,79,26
